State,Year,Quarter,Transacion_type,Transacion_count,Transacion_amount,Latitude,Longitude
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114,15.9129,79.74
andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20895,15.9129,79.74
andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145,15.9129,79.74
andhra-pradesh,2022,2,Financial Services,192751,245783011.04455265,15.9129,79.74
andhra-pradesh,2022,2,Others,441925,357036084.9071137,15.9129,79.74
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7395,15.9129,79.74
andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824,15.9129,79.74
andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322,15.9129,79.74
andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045,15.9129,79.74
andhra-pradesh,2022,3,Others,362484,323951101.5715289,15.9129,79.74
andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848,15.9129,79.74
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112,15.9129,79.74
andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,15.9129,79.74
andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048,15.9129,79.74
andhra-pradesh,2022,4,Others,345658,339211363.0027188,15.9129,79.74
arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,28.218,94.7278
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305,28.218,94.7278
arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755,28.218,94.7278
arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088,28.218,94.7278
arunachal-pradesh,2018,1,Others,1990,1834252.817690888,28.218,94.7278
arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.537107185,28.218,94.7278
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755,28.218,94.7278
arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011,28.218,94.7278
arunachal-pradesh,2018,2,Financial Services,559,363761.801595492,28.218,94.7278
arunachal-pradesh,2018,2,Others,2043,1842317.369135248,28.218,94.7278
arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016495,28.218,94.7278
